number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_train_epochs,params_weight_decay,state
0,0.11155116395398829,2024-12-27 15:32:55.089012,2024-12-27 15:43:14.149785,0 days 00:10:19.060773,8,4.328450221293881e-06,10,0.01,COMPLETE
1,0.02019677436191868,2024-12-27 15:43:14.150819,2024-12-27 15:48:21.517086,0 days 00:05:07.366267,8,1.255111517297383e-06,5,0.1,COMPLETE
2,0.526629965403738,2024-12-27 15:48:21.518254,2024-12-27 16:03:28.291718,0 days 00:15:06.773464,8,2.595942550311263e-05,15,0.05,COMPLETE
3,0.14641399814962466,2024-12-27 16:03:28.292721,2024-12-27 16:18:28.864866,0 days 00:15:00.572145,16,5.418282319533245e-06,15,0.04,COMPLETE
4,0.3409576798109051,2024-12-27 16:18:28.866012,2024-12-27 16:43:32.518094,0 days 00:25:03.652082,8,5.954553793888989e-06,25,0.0,COMPLETE
5,0.4130416695731299,2024-12-27 16:43:32.519312,2024-12-27 17:20:30.985736,0 days 00:36:58.466424,32,1.0769622478263125e-05,40,0.08,COMPLETE
6,0.03747482713781133,2024-12-27 17:20:30.986771,2024-12-27 17:25:33.432058,0 days 00:05:02.445287,16,3.292529363110526e-06,5,0.05,COMPLETE
7,0.05872737136314458,2024-12-27 17:25:33.433044,2024-12-27 17:40:34.596643,0 days 00:15:01.163599,8,1.1439974749291267e-06,15,0.05,COMPLETE
8,0.46192098511592095,2024-12-27 17:40:34.597617,2024-12-27 18:20:12.403567,0 days 00:39:37.805950,16,8.488762161408713e-06,40,0.09,COMPLETE
9,0.11679431680448296,2024-12-27 18:20:12.404738,2024-12-27 18:25:17.711175,0 days 00:05:05.306437,8,1.0370844668954537e-05,5,0.03,COMPLETE
