number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_train_epochs,params_weight_decay,state
0,0.11827212655532372,2024-12-28 04:02:42.742824,2024-12-28 04:12:50.443299,0 days 00:10:07.700475,8,4.328450221293881e-06,10,0.01,COMPLETE
1,0.020155042497825546,2024-12-28 04:12:50.444387,2024-12-28 04:17:55.870560,0 days 00:05:05.426173,8,1.255111517297383e-06,5,0.1,COMPLETE
2,0.5221750035310407,2024-12-28 04:17:55.871088,2024-12-28 04:32:56.312743,0 days 00:15:00.441655,8,2.595942550311263e-05,15,0.05,COMPLETE
3,0.14959093510721677,2024-12-28 04:32:56.313756,2024-12-28 04:47:49.736412,0 days 00:14:53.422656,16,5.418282319533245e-06,15,0.04,COMPLETE
4,0.3509989988553671,2024-12-28 04:47:49.737407,2024-12-28 05:12:43.855667,0 days 00:24:54.118260,8,5.954553793888989e-06,25,0.0,COMPLETE
5,0.37490584362958707,2024-12-28 05:12:43.856609,2024-12-28 05:49:34.121756,0 days 00:36:50.265147,32,1.0769622478263125e-05,40,0.08,COMPLETE
6,0.027980628770266035,2024-12-28 05:49:34.122908,2024-12-28 05:54:35.337976,0 days 00:05:01.215068,16,3.292529363110526e-06,5,0.05,COMPLETE
7,0.056600911298163,2024-12-28 05:54:35.338964,2024-12-28 06:09:37.139560,0 days 00:15:01.800596,8,1.1439974749291267e-06,15,0.05,COMPLETE
8,0.4354799386591863,2024-12-28 06:09:37.140568,2024-12-28 06:49:09.192347,0 days 00:39:32.051779,16,8.488762161408713e-06,40,0.09,COMPLETE
9,0.14650605082738047,2024-12-28 06:49:09.193414,2024-12-28 06:54:12.082610,0 days 00:05:02.889196,8,1.0370844668954537e-05,5,0.03,COMPLETE
