number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_train_epochs,params_weight_decay,state
0,0.13806956171221463,2024-12-28 07:09:32.698455,2024-12-28 07:19:47.407018,0 days 00:10:14.708563,8,4.328450221293881e-06,10,0.01,COMPLETE
1,0.024716540320452687,2024-12-28 07:19:47.407955,2024-12-28 07:24:52.956078,0 days 00:05:05.548123,8,1.255111517297383e-06,5,0.1,COMPLETE
2,0.5328744862578183,2024-12-28 07:24:52.956769,2024-12-28 07:39:53.240224,0 days 00:15:00.283455,8,2.595942550311263e-05,15,0.05,COMPLETE
3,0.1465802139779929,2024-12-28 07:39:53.241202,2024-12-28 07:54:46.002045,0 days 00:14:52.760843,16,5.418282319533245e-06,15,0.04,COMPLETE
4,0.3494255608229799,2024-12-28 07:54:46.003005,2024-12-28 08:19:40.106015,0 days 00:24:54.103010,8,5.954553793888989e-06,25,0.0,COMPLETE
5,0.4041980765337244,2024-12-28 08:19:40.106999,2024-12-28 08:56:31.789051,0 days 00:36:51.682052,32,1.0769622478263125e-05,40,0.08,COMPLETE
6,0.0339749006721699,2024-12-28 08:56:31.790021,2024-12-28 09:01:31.971635,0 days 00:05:00.181614,16,3.292529363110526e-06,5,0.05,COMPLETE
7,0.07354435252318908,2024-12-28 09:01:31.972363,2024-12-28 09:16:33.577643,0 days 00:15:01.605280,8,1.1439974749291267e-06,15,0.05,COMPLETE
8,0.4524104769746519,2024-12-28 09:16:33.578634,2024-12-28 09:55:58.838346,0 days 00:39:25.259712,16,8.488762161408713e-06,40,0.09,COMPLETE
9,0.1399649532127019,2024-12-28 09:55:58.839478,2024-12-28 10:01:01.869911,0 days 00:05:03.030433,8,1.0370844668954537e-05,5,0.03,COMPLETE
