number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_train_epochs,params_weight_decay,state
0,0.11873289460753475,2024-12-27 18:40:40.711024,2024-12-27 18:50:48.762556,0 days 00:10:08.051532,8,4.328450221293881e-06,10,0.01,COMPLETE
1,0.02152104283251277,2024-12-27 18:50:48.763493,2024-12-27 18:55:52.128459,0 days 00:05:03.364966,8,1.255111517297383e-06,5,0.1,COMPLETE
2,0.5237239759061701,2024-12-27 18:55:52.129422,2024-12-27 19:10:53.369960,0 days 00:15:01.240538,8,2.595942550311263e-05,15,0.05,COMPLETE
3,0.14598426970729156,2024-12-27 19:10:53.370922,2024-12-27 19:25:46.483216,0 days 00:14:53.112294,16,5.418282319533245e-06,15,0.04,COMPLETE
4,0.33181512828382637,2024-12-27 19:25:46.484207,2024-12-27 19:50:39.967221,0 days 00:24:53.483014,8,5.954553793888989e-06,25,0.0,COMPLETE
5,0.42075363106990166,2024-12-27 19:50:39.968291,2024-12-27 20:27:27.158803,0 days 00:36:47.190512,32,1.0769622478263125e-05,40,0.08,COMPLETE
6,0.0316572214152626,2024-12-27 20:27:27.159836,2024-12-27 20:32:28.138879,0 days 00:05:00.979043,16,3.292529363110526e-06,5,0.05,COMPLETE
7,0.058869740785530256,2024-12-27 20:32:28.139897,2024-12-27 20:47:29.755291,0 days 00:15:01.615394,8,1.1439974749291267e-06,15,0.05,COMPLETE
8,0.44237196476767926,2024-12-27 20:47:29.756381,2024-12-27 21:27:01.600027,0 days 00:39:31.843646,16,8.488762161408713e-06,40,0.09,COMPLETE
9,0.12243058885967527,2024-12-27 21:27:01.601166,2024-12-27 21:32:05.396467,0 days 00:05:03.795301,8,1.0370844668954537e-05,5,0.03,COMPLETE
