number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_train_epochs,params_weight_decay,state
0,0.1211657781299727,2024-12-27 18:40:53.672919,2024-12-27 18:50:58.969149,0 days 00:10:05.296230,8,4.328450221293881e-06,10,0.01,COMPLETE
1,0.020206881329852308,2024-12-27 18:50:58.970186,2024-12-27 18:56:03.121584,0 days 00:05:04.151398,8,1.255111517297383e-06,5,0.1,COMPLETE
2,0.5002664626652029,2024-12-27 18:56:03.122600,2024-12-27 19:11:05.935027,0 days 00:15:02.812427,8,2.595942550311263e-05,15,0.05,COMPLETE
3,0.17666803436275824,2024-12-27 19:11:05.936035,2024-12-27 19:26:01.753756,0 days 00:14:55.817721,16,5.418282319533245e-06,15,0.04,COMPLETE
4,0.35092747543939634,2024-12-27 19:26:01.754947,2024-12-27 19:50:57.977218,0 days 00:24:56.222271,8,5.954553793888989e-06,25,0.0,COMPLETE
5,0.4026492183281589,2024-12-27 19:50:57.978430,2024-12-27 20:27:57.926590,0 days 00:36:59.948160,32,1.0769622478263125e-05,40,0.08,COMPLETE
6,0.04108682904235879,2024-12-27 20:27:57.927672,2024-12-27 20:32:58.722760,0 days 00:05:00.795088,16,3.292529363110526e-06,5,0.05,COMPLETE
7,0.06810211465300815,2024-12-27 20:32:58.723387,2024-12-27 20:48:02.121306,0 days 00:15:03.397919,8,1.1439974749291267e-06,15,0.05,COMPLETE
8,0.45344143900154127,2024-12-27 20:48:02.122358,2024-12-27 21:27:41.839069,0 days 00:39:39.716711,16,8.488762161408713e-06,40,0.09,COMPLETE
9,0.12292022136333218,2024-12-27 21:27:41.840147,2024-12-27 21:32:45.610555,0 days 00:05:03.770408,8,1.0370844668954537e-05,5,0.03,COMPLETE
