number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_train_epochs,params_weight_decay,state
0,0.14082198243793267,2024-12-27 12:26:11.095527,2024-12-27 12:36:15.721979,0 days 00:10:04.626452,8,4.328450221293881e-06,10,0.01,COMPLETE
1,0.019008401323177826,2024-12-27 12:36:15.723038,2024-12-27 12:41:19.339148,0 days 00:05:03.616110,8,1.255111517297383e-06,5,0.1,COMPLETE
2,0.4820426665786605,2024-12-27 12:41:19.340186,2024-12-27 12:56:20.277080,0 days 00:15:00.936894,8,2.595942550311263e-05,15,0.05,COMPLETE
3,0.15928641884418662,2024-12-27 12:56:20.278060,2024-12-27 13:11:15.529156,0 days 00:14:55.251096,16,5.418282319533245e-06,15,0.04,COMPLETE
4,0.3089177479816445,2024-12-27 13:11:15.530358,2024-12-27 13:36:12.955700,0 days 00:24:57.425342,8,5.954553793888989e-06,25,0.0,COMPLETE
5,0.3945597774754407,2024-12-27 13:36:12.956748,2024-12-27 14:13:13.767553,0 days 00:37:00.810805,32,1.0769622478263125e-05,40,0.08,COMPLETE
6,0.03499688702547709,2024-12-27 14:13:13.768635,2024-12-27 14:18:16.056148,0 days 00:05:02.287513,16,3.292529363110526e-06,5,0.05,COMPLETE
7,0.06754034394232743,2024-12-27 14:18:16.057189,2024-12-27 14:33:19.024326,0 days 00:15:02.967137,8,1.1439974749291267e-06,15,0.05,COMPLETE
8,0.4378689170860905,2024-12-27 14:33:19.025286,2024-12-27 15:12:54.388550,0 days 00:39:35.363264,16,8.488762161408713e-06,40,0.09,COMPLETE
9,0.11885332413841267,2024-12-27 15:12:54.389554,2024-12-27 15:17:59.172221,0 days 00:05:04.782667,8,1.0370844668954537e-05,5,0.03,COMPLETE
