number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_train_epochs,params_weight_decay,state
0,0.12181094689653672,2024-12-27 15:33:20.272281,2024-12-27 15:43:25.332030,0 days 00:10:05.059749,8,4.328450221293881e-06,10,0.01,COMPLETE
1,0.018301107192387592,2024-12-27 15:43:25.333148,2024-12-27 15:48:32.089241,0 days 00:05:06.756093,8,1.255111517297383e-06,5,0.1,COMPLETE
2,0.45415998970250077,2024-12-27 15:48:32.090421,2024-12-27 16:03:37.629832,0 days 00:15:05.539411,8,2.595942550311263e-05,15,0.05,COMPLETE
3,0.15958457532609496,2024-12-27 16:03:37.630859,2024-12-27 16:18:34.542339,0 days 00:14:56.911480,16,5.418282319533245e-06,15,0.04,COMPLETE
4,0.3370507954147393,2024-12-27 16:18:34.543495,2024-12-27 16:43:32.088002,0 days 00:24:57.544507,8,5.954553793888989e-06,25,0.0,COMPLETE
5,0.41782477202934404,2024-12-27 16:43:32.089057,2024-12-27 17:20:35.633287,0 days 00:37:03.544230,32,1.0769622478263125e-05,40,0.08,COMPLETE
6,0.04076264621732809,2024-12-27 17:20:35.634373,2024-12-27 17:25:39.309408,0 days 00:05:03.675035,16,3.292529363110526e-06,5,0.05,COMPLETE
7,0.064448798516769,2024-12-27 17:25:39.310415,2024-12-27 17:40:44.386599,0 days 00:15:05.076184,8,1.1439974749291267e-06,15,0.05,COMPLETE
8,0.443013808769574,2024-12-27 17:40:44.387517,2024-12-27 18:20:24.121257,0 days 00:39:39.733740,16,8.488762161408713e-06,40,0.09,COMPLETE
9,0.1266189201018605,2024-12-27 18:20:24.122361,2024-12-27 18:25:27.964409,0 days 00:05:03.842048,8,1.0370844668954537e-05,5,0.03,COMPLETE
