number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_train_epochs,params_weight_decay,state
0,0.12818227728662393,2024-12-28 10:16:21.626665,2024-12-28 10:26:27.181995,0 days 00:10:05.555330,8,4.328450221293881e-06,10,0.01,COMPLETE
1,0.02357537867438996,2024-12-28 10:26:27.182944,2024-12-28 10:31:32.154235,0 days 00:05:04.971291,8,1.255111517297383e-06,5,0.1,COMPLETE
2,0.5343411530002328,2024-12-28 10:31:32.155174,2024-12-28 10:46:33.995497,0 days 00:15:01.840323,8,2.595942550311263e-05,15,0.05,COMPLETE
3,0.16380713357534343,2024-12-28 10:46:33.996544,2024-12-28 11:01:27.468388,0 days 00:14:53.471844,16,5.418282319533245e-06,15,0.04,COMPLETE
4,0.34437522140262083,2024-12-28 11:01:27.469345,2024-12-28 11:26:21.555872,0 days 00:24:54.086527,8,5.954553793888989e-06,25,0.0,COMPLETE
5,0.41956274195141646,2024-12-28 11:26:21.556811,2024-12-28 12:03:13.976746,0 days 00:36:52.419935,32,1.0769622478263125e-05,40,0.08,COMPLETE
6,0.03339382780143663,2024-12-28 12:03:13.977672,2024-12-28 12:08:20.317710,0 days 00:05:06.340038,16,3.292529363110526e-06,5,0.05,COMPLETE
7,0.0576958852028129,2024-12-28 12:08:20.318626,2024-12-28 12:23:21.857297,0 days 00:15:01.538671,8,1.1439974749291267e-06,15,0.05,COMPLETE
8,0.45027284579829063,2024-12-28 12:23:21.858203,2024-12-28 13:02:55.135479,0 days 00:39:33.277276,16,8.488762161408713e-06,40,0.09,COMPLETE
9,0.13022249709853492,2024-12-28 13:02:55.136587,2024-12-28 13:07:58.373957,0 days 00:05:03.237370,8,1.0370844668954537e-05,5,0.03,COMPLETE
