number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_train_epochs,params_weight_decay,state
0,0.11089352316187245,2024-12-28 00:55:07.009457,2024-12-28 01:05:16.630278,0 days 00:10:09.620821,8,4.328450221293881e-06,10,0.01,COMPLETE
1,0.014717348927875245,2024-12-28 01:05:16.631489,2024-12-28 01:10:22.796634,0 days 00:05:06.165145,8,1.255111517297383e-06,5,0.1,COMPLETE
2,0.5233479027528025,2024-12-28 01:10:22.797704,2024-12-28 01:25:29.053312,0 days 00:15:06.255608,8,2.595942550311263e-05,15,0.05,COMPLETE
3,0.15553413622102097,2024-12-28 01:25:29.054320,2024-12-28 01:40:26.149794,0 days 00:14:57.095474,16,5.418282319533245e-06,15,0.04,COMPLETE
4,0.3701815830892069,2024-12-28 01:40:26.150895,2024-12-28 02:05:25.879349,0 days 00:24:59.728454,8,5.954553793888989e-06,25,0.0,COMPLETE
5,0.3955875506573253,2024-12-28 02:05:25.880387,2024-12-28 02:42:22.004681,0 days 00:36:56.124294,32,1.0769622478263125e-05,40,0.08,COMPLETE
6,0.033839938873736715,2024-12-28 02:42:22.005687,2024-12-28 02:47:23.675714,0 days 00:05:01.670027,16,3.292529363110526e-06,5,0.05,COMPLETE
7,0.05717978290336749,2024-12-28 02:47:23.676660,2024-12-28 03:02:31.388350,0 days 00:15:07.711690,8,1.1439974749291267e-06,15,0.05,COMPLETE
8,0.4647525367324029,2024-12-28 03:02:31.389346,2024-12-28 03:42:12.754719,0 days 00:39:41.365373,16,8.488762161408713e-06,40,0.09,COMPLETE
9,0.1325356804274367,2024-12-28 03:42:12.755783,2024-12-28 03:47:17.503741,0 days 00:05:04.747958,8,1.0370844668954537e-05,5,0.03,COMPLETE
