number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_train_epochs,params_weight_decay,state
0,0.21342547051110453,2024-12-26 15:24:22.820303,2024-12-26 15:32:50.678780,0 days 00:08:27.858477,8,4.328450221293881e-06,10,0.01,COMPLETE
1,0.009990995548225669,2024-12-26 15:32:50.679937,2024-12-26 15:37:03.842496,0 days 00:04:13.162559,8,1.255111517297383e-06,5,0.1,COMPLETE
2,0.6185724412040202,2024-12-26 15:37:03.843698,2024-12-26 15:49:30.880733,0 days 00:12:27.037035,8,2.595942550311263e-05,15,0.05,COMPLETE
3,0.265424017737456,2024-12-26 15:49:30.881682,2024-12-26 16:01:02.767255,0 days 00:11:31.885573,16,5.418282319533245e-06,15,0.04,COMPLETE
4,0.524221378207757,2024-12-26 16:01:02.768230,2024-12-26 16:21:38.476137,0 days 00:20:35.707907,8,5.954553793888989e-06,25,0.0,COMPLETE
5,0.5556423898808773,2024-12-26 16:21:38.477323,2024-12-26 16:50:11.193582,0 days 00:28:32.716259,32,1.0769622478263125e-05,40,0.08,COMPLETE
6,0.05858300718071768,2024-12-26 16:50:11.194595,2024-12-26 16:54:04.640982,0 days 00:03:53.446387,16,3.292529363110526e-06,5,0.05,COMPLETE
7,0.06697011059993309,2024-12-26 16:54:04.642065,2024-12-26 17:06:31.094356,0 days 00:12:26.452291,8,1.1439974749291267e-06,15,0.05,COMPLETE
8,0.6016149545996325,2024-12-26 17:06:31.095543,2024-12-26 17:37:07.194756,0 days 00:30:36.099213,16,8.488762161408713e-06,40,0.09,COMPLETE
9,0.24312430545940514,2024-12-26 17:37:07.195924,2024-12-26 17:41:20.426301,0 days 00:04:13.230377,8,1.0370844668954537e-05,5,0.03,COMPLETE
