number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_train_epochs,params_weight_decay,state
0,0.20898882684914336,2024-12-26 20:26:43.540687,2024-12-26 20:35:11.589619,0 days 00:08:28.048932,8,4.328450221293881e-06,10,0.01,COMPLETE
1,0.02753812621441244,2024-12-26 20:35:11.590620,2024-12-26 20:39:24.514400,0 days 00:04:12.923780,8,1.255111517297383e-06,5,0.1,COMPLETE
2,0.6271642023939776,2024-12-26 20:39:24.515457,2024-12-26 20:51:54.071781,0 days 00:12:29.556324,8,2.595942550311263e-05,15,0.05,COMPLETE
3,0.26926132403624375,2024-12-26 20:51:54.072770,2024-12-26 21:03:27.826978,0 days 00:11:33.754208,16,5.418282319533245e-06,15,0.04,COMPLETE
4,0.5032118957241046,2024-12-26 21:03:27.828147,2024-12-26 21:24:05.710662,0 days 00:20:37.882515,8,5.954553793888989e-06,25,0.0,COMPLETE
5,0.5695597466860625,2024-12-26 21:24:05.712019,2024-12-26 21:52:44.552977,0 days 00:28:38.840958,32,1.0769622478263125e-05,40,0.08,COMPLETE
6,0.04884672513585463,2024-12-26 21:52:44.554036,2024-12-26 21:56:38.277961,0 days 00:03:53.723925,16,3.292529363110526e-06,5,0.05,COMPLETE
7,0.0604093061953345,2024-12-26 21:56:38.278911,2024-12-26 22:09:10.257571,0 days 00:12:31.978660,8,1.1439974749291267e-06,15,0.05,COMPLETE
8,0.58520164504445,2024-12-26 22:09:10.258634,2024-12-26 22:39:55.442100,0 days 00:30:45.183466,16,8.488762161408713e-06,40,0.09,COMPLETE
9,0.26581438314489914,2024-12-26 22:39:55.443169,2024-12-26 22:44:10.319691,0 days 00:04:14.876522,8,1.0370844668954537e-05,5,0.03,COMPLETE
