number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_train_epochs,params_weight_decay,state
0,0.09255951694252695,2024-12-27 09:18:36.666890,2024-12-27 09:28:42.850566,0 days 00:10:06.183676,8,4.328450221293881e-06,10,0.01,COMPLETE
1,0.013391104161589357,2024-12-27 09:28:42.851139,2024-12-27 09:33:42.618401,0 days 00:04:59.767262,8,1.255111517297383e-06,5,0.1,COMPLETE
2,0.45690054602278607,2024-12-27 09:33:42.618957,2024-12-27 09:48:28.605679,0 days 00:14:45.986722,8,2.595942550311263e-05,15,0.05,COMPLETE
3,0.14506184492943902,2024-12-27 09:48:28.606226,2024-12-27 10:03:08.557904,0 days 00:14:39.951678,16,5.418282319533245e-06,15,0.04,COMPLETE
4,0.30810394806970953,2024-12-27 10:03:08.558485,2024-12-27 10:27:42.339047,0 days 00:24:33.780562,8,5.954553793888989e-06,25,0.0,COMPLETE
5,0.34993918668811996,2024-12-27 10:27:42.340116,2024-12-27 11:04:02.713076,0 days 00:36:20.372960,32,1.0769622478263125e-05,40,0.08,COMPLETE
6,0.02629108194386514,2024-12-27 11:04:02.713916,2024-12-27 11:08:58.427581,0 days 00:04:55.713665,16,3.292529363110526e-06,5,0.05,COMPLETE
7,0.03451436638186539,2024-12-27 11:08:58.428714,2024-12-27 11:23:46.679546,0 days 00:14:48.250832,8,1.1439974749291267e-06,15,0.05,COMPLETE
8,0.3755080060431245,2024-12-27 11:23:46.680162,2024-12-27 12:02:49.406493,0 days 00:39:02.726331,16,8.488762161408713e-06,40,0.09,COMPLETE
9,0.10469280808658976,2024-12-27 12:02:49.407484,2024-12-27 12:07:49.003964,0 days 00:04:59.596480,8,1.0370844668954537e-05,5,0.03,COMPLETE
