number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_train_epochs,params_weight_decay,state
0,0.0871447664062154,2024-12-28 07:05:22.355725,2024-12-28 07:15:18.720091,0 days 00:09:56.364366,8,4.328450221293881e-06,10,0.01,COMPLETE
1,0.012650434649683562,2024-12-28 07:15:18.720660,2024-12-28 07:20:18.083729,0 days 00:04:59.363069,8,1.255111517297383e-06,5,0.1,COMPLETE
2,0.39473326908458084,2024-12-28 07:20:18.084289,2024-12-28 07:35:06.610319,0 days 00:14:48.526030,8,2.595942550311263e-05,15,0.05,COMPLETE
3,0.11941133992610821,2024-12-28 07:35:06.610890,2024-12-28 07:49:47.972422,0 days 00:14:41.361532,16,5.418282319533245e-06,15,0.04,COMPLETE
4,0.2902073126095759,2024-12-28 07:49:47.973039,2024-12-28 08:14:22.984155,0 days 00:24:35.011116,8,5.954553793888989e-06,25,0.0,COMPLETE
5,0.3493372963031754,2024-12-28 08:14:22.985191,2024-12-28 08:50:43.865346,0 days 00:36:20.880155,32,1.0769622478263125e-05,40,0.08,COMPLETE
6,0.03994341529928379,2024-12-28 08:50:43.866387,2024-12-28 08:55:40.386143,0 days 00:04:56.519756,16,3.292529363110526e-06,5,0.05,COMPLETE
7,0.04196571110946272,2024-12-28 08:55:40.386729,2024-12-28 09:10:28.428816,0 days 00:14:48.042087,8,1.1439974749291267e-06,15,0.05,COMPLETE
8,0.3793460546586504,2024-12-28 09:10:28.429367,2024-12-28 09:49:30.779521,0 days 00:39:02.350154,16,8.488762161408713e-06,40,0.09,COMPLETE
9,0.0942607566994558,2024-12-28 09:49:30.780585,2024-12-28 09:54:30.112109,0 days 00:04:59.331524,8,1.0370844668954537e-05,5,0.03,COMPLETE
