number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_train_epochs,params_weight_decay,state
0,0.1262562490486736,2024-12-27 09:18:36.601761,2024-12-27 09:28:54.818131,0 days 00:10:18.216370,8,4.328450221293881e-06,10,0.01,COMPLETE
1,0.021727474069175075,2024-12-27 09:28:54.819080,2024-12-27 09:33:58.074264,0 days 00:05:03.255184,8,1.255111517297383e-06,5,0.1,COMPLETE
2,0.5402394354006803,2024-12-27 09:33:58.075117,2024-12-27 09:48:57.000359,0 days 00:14:58.925242,8,2.595942550311263e-05,15,0.05,COMPLETE
3,0.1556301179776454,2024-12-27 09:48:57.001320,2024-12-27 10:03:50.203556,0 days 00:14:53.202236,16,5.418282319533245e-06,15,0.04,COMPLETE
4,0.35509937524397744,2024-12-27 10:03:50.204563,2024-12-27 10:28:43.354113,0 days 00:24:53.149550,8,5.954553793888989e-06,25,0.0,COMPLETE
5,0.42962072853557853,2024-12-27 10:28:43.355123,2024-12-27 11:05:36.768292,0 days 00:36:53.413169,32,1.0769622478263125e-05,40,0.08,COMPLETE
6,0.027231937489192053,2024-12-27 11:05:36.769321,2024-12-27 11:10:39.680336,0 days 00:05:02.911015,16,3.292529363110526e-06,5,0.05,COMPLETE
7,0.06791785281829478,2024-12-27 11:10:39.681301,2024-12-27 11:25:39.759555,0 days 00:15:00.078254,8,1.1439974749291267e-06,15,0.05,COMPLETE
8,0.464130290810963,2024-12-27 11:25:39.760541,2024-12-27 12:05:11.765891,0 days 00:39:32.005350,16,8.488762161408713e-06,40,0.09,COMPLETE
9,0.12804959335302474,2024-12-27 12:05:11.766887,2024-12-27 12:10:18.435990,0 days 00:05:06.669103,8,1.0370844668954537e-05,5,0.03,COMPLETE
