number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_train_epochs,params_weight_decay,state
0,0.12550343907155054,2024-12-28 10:19:46.622506,2024-12-28 10:29:55.994921,0 days 00:10:09.372415,8,4.328450221293881e-06,10,0.01,COMPLETE
1,0.020607206992229888,2024-12-28 10:29:55.995913,2024-12-28 10:35:02.530749,0 days 00:05:06.534836,8,1.255111517297383e-06,5,0.1,COMPLETE
2,0.5011400295610823,2024-12-28 10:35:02.531691,2024-12-28 10:50:07.376151,0 days 00:15:04.844460,8,2.595942550311263e-05,15,0.05,COMPLETE
3,0.1855137003424088,2024-12-28 10:50:07.377230,2024-12-28 11:05:05.178143,0 days 00:14:57.800913,16,5.418282319533245e-06,15,0.04,COMPLETE
4,0.3649271562178485,2024-12-28 11:05:05.179274,2024-12-28 11:30:04.066761,0 days 00:24:58.887487,8,5.954553793888989e-06,25,0.0,COMPLETE
5,0.42791029420115295,2024-12-28 11:30:04.067988,2024-12-28 12:07:06.074886,0 days 00:37:02.006898,32,1.0769622478263125e-05,40,0.08,COMPLETE
6,0.028985173216962496,2024-12-28 12:07:06.075829,2024-12-28 12:12:09.180703,0 days 00:05:03.104874,16,3.292529363110526e-06,5,0.05,COMPLETE
7,0.07087616176620583,2024-12-28 12:12:09.181650,2024-12-28 12:27:13.530462,0 days 00:15:04.348812,8,1.1439974749291267e-06,15,0.05,COMPLETE
8,0.4459593552997115,2024-12-28 12:27:13.531587,2024-12-28 13:06:56.181903,0 days 00:39:42.650316,16,8.488762161408713e-06,40,0.09,COMPLETE
9,0.12934625342241043,2024-12-28 13:06:56.182897,2024-12-28 13:12:00.246293,0 days 00:05:04.063396,8,1.0370844668954537e-05,5,0.03,COMPLETE
