number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_train_epochs,params_weight_decay,state
0,0.1303878604551965,2024-12-28 04:04:18.713358,2024-12-28 04:14:28.175985,0 days 00:10:09.462627,8,4.328450221293881e-06,10,0.01,COMPLETE
1,0.018898423616186624,2024-12-28 04:14:28.176985,2024-12-28 04:19:33.240416,0 days 00:05:05.063431,8,1.255111517297383e-06,5,0.1,COMPLETE
2,0.4943985827415369,2024-12-28 04:19:33.241560,2024-12-28 04:34:36.922856,0 days 00:15:03.681296,8,2.595942550311263e-05,15,0.05,COMPLETE
3,0.1650775620440941,2024-12-28 04:34:36.923854,2024-12-28 04:49:33.034243,0 days 00:14:56.110389,16,5.418282319533245e-06,15,0.04,COMPLETE
4,0.3348941830845526,2024-12-28 04:49:33.035237,2024-12-28 05:14:33.224592,0 days 00:25:00.189355,8,5.954553793888989e-06,25,0.0,COMPLETE
5,0.4174347430538296,2024-12-28 05:14:33.225716,2024-12-28 05:51:39.409668,0 days 00:37:06.183952,32,1.0769622478263125e-05,40,0.08,COMPLETE
6,0.03322554444279086,2024-12-28 05:51:39.410613,2024-12-28 05:56:43.316411,0 days 00:05:03.905798,16,3.292529363110526e-06,5,0.05,COMPLETE
7,0.07194931793397086,2024-12-28 05:56:43.317499,2024-12-28 06:11:49.338265,0 days 00:15:06.020766,8,1.1439974749291267e-06,15,0.05,COMPLETE
8,0.44631553704766785,2024-12-28 06:11:49.339167,2024-12-28 06:51:31.965704,0 days 00:39:42.626537,16,8.488762161408713e-06,40,0.09,COMPLETE
9,0.10916334356364492,2024-12-28 06:51:31.966664,2024-12-28 06:56:36.801056,0 days 00:05:04.834392,8,1.0370844668954537e-05,5,0.03,COMPLETE
