number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_train_epochs,params_weight_decay,state
0,0.18178309808932552,2024-12-26 12:53:51.119106,2024-12-26 13:02:18.013682,0 days 00:08:26.894576,8,4.328450221293881e-06,10,0.01,COMPLETE
1,0.025849991834644013,2024-12-26 13:02:18.014896,2024-12-26 13:06:31.737354,0 days 00:04:13.722458,8,1.255111517297383e-06,5,0.1,COMPLETE
2,0.6336067157243628,2024-12-26 13:06:31.738468,2024-12-26 13:19:01.538241,0 days 00:12:29.799773,8,2.595942550311263e-05,15,0.05,COMPLETE
3,0.25566892798168167,2024-12-26 13:19:01.539292,2024-12-26 13:30:35.000081,0 days 00:11:33.460789,16,5.418282319533245e-06,15,0.04,COMPLETE
4,0.48778988988197014,2024-12-26 13:30:35.001125,2024-12-26 13:51:15.957908,0 days 00:20:40.956783,8,5.954553793888989e-06,25,0.0,COMPLETE
5,0.5592748880715352,2024-12-26 13:51:15.959004,2024-12-26 14:19:57.233884,0 days 00:28:41.274880,32,1.0769622478263125e-05,40,0.08,COMPLETE
6,0.05438231837120879,2024-12-26 14:19:57.234979,2024-12-26 14:23:51.298870,0 days 00:03:54.063891,16,3.292529363110526e-06,5,0.05,COMPLETE
7,0.07601029889659731,2024-12-26 14:23:51.300017,2024-12-26 14:36:22.578949,0 days 00:12:31.278932,8,1.1439974749291267e-06,15,0.05,COMPLETE
8,0.5776242393084497,2024-12-26 14:36:22.579990,2024-12-26 15:07:06.622146,0 days 00:30:44.042156,16,8.488762161408713e-06,40,0.09,COMPLETE
9,0.2305517919390554,2024-12-26 15:07:06.623198,2024-12-26 15:11:19.903322,0 days 00:04:13.280124,8,1.0370844668954537e-05,5,0.03,COMPLETE
