number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_train_epochs,params_weight_decay,state
0,0.0884907483741248,2024-12-28 03:59:39.547310,2024-12-28 04:09:44.073594,0 days 00:10:04.526284,8,4.328450221293881e-06,10,0.01,COMPLETE
1,0.017063508677886086,2024-12-28 04:09:44.074182,2024-12-28 04:14:45.994097,0 days 00:05:01.919915,8,1.255111517297383e-06,5,0.1,COMPLETE
2,0.43651471642648165,2024-12-28 04:14:45.994696,2024-12-28 04:29:41.209623,0 days 00:14:55.214927,8,2.595942550311263e-05,15,0.05,COMPLETE
3,0.13313219585166414,2024-12-28 04:29:41.210219,2024-12-28 04:44:28.361174,0 days 00:14:47.150955,16,5.418282319533245e-06,15,0.04,COMPLETE
4,0.30326913060469324,2024-12-28 04:44:28.361736,2024-12-28 05:09:16.196195,0 days 00:24:47.834459,8,5.954553793888989e-06,25,0.0,COMPLETE
5,0.3521994900041448,2024-12-28 05:09:16.197232,2024-12-28 05:45:55.463227,0 days 00:36:39.265995,32,1.0769622478263125e-05,40,0.08,COMPLETE
6,0.03397579054853536,2024-12-28 05:45:55.464274,2024-12-28 05:50:54.177385,0 days 00:04:58.713111,16,3.292529363110526e-06,5,0.05,COMPLETE
7,0.043001041774944265,2024-12-28 05:50:54.178007,2024-12-28 06:05:48.476659,0 days 00:14:54.298652,8,1.1439974749291267e-06,15,0.05,COMPLETE
8,0.3811267317387147,2024-12-28 06:05:48.477154,2024-12-28 06:45:07.969257,0 days 00:39:19.492103,16,8.488762161408713e-06,40,0.09,COMPLETE
9,0.1051121340632715,2024-12-28 06:45:07.969891,2024-12-28 06:50:09.073003,0 days 00:05:01.103112,8,1.0370844668954537e-05,5,0.03,COMPLETE
