number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_train_epochs,params_weight_decay,state
0,0.08565902850275198,2024-12-28 10:09:38.079577,2024-12-28 10:19:34.360180,0 days 00:09:56.280603,8,4.328450221293881e-06,10,0.01,COMPLETE
1,0.01450351867126761,2024-12-28 10:19:34.360762,2024-12-28 10:24:33.084097,0 days 00:04:58.723335,8,1.255111517297383e-06,5,0.1,COMPLETE
2,0.43347428282312,2024-12-28 10:24:33.084657,2024-12-28 10:39:21.115082,0 days 00:14:48.030425,8,2.595942550311263e-05,15,0.05,COMPLETE
3,0.14954776786355733,2024-12-28 10:39:21.115657,2024-12-28 10:54:00.074418,0 days 00:14:38.958761,16,5.418282319533245e-06,15,0.04,COMPLETE
4,0.2940415537993912,2024-12-28 10:54:00.074956,2024-12-28 11:18:35.208262,0 days 00:24:35.133306,8,5.954553793888989e-06,25,0.0,COMPLETE
5,0.3404515581099169,2024-12-28 11:18:35.209313,2024-12-28 11:54:58.158089,0 days 00:36:22.948776,32,1.0769622478263125e-05,40,0.08,COMPLETE
6,0.03380713061545279,2024-12-28 11:54:58.158698,2024-12-28 11:59:56.069969,0 days 00:04:57.911271,16,3.292529363110526e-06,5,0.05,COMPLETE
7,0.04026739896522111,2024-12-28 11:59:56.070574,2024-12-28 12:14:52.023964,0 days 00:14:55.953390,8,1.1439974749291267e-06,15,0.05,COMPLETE
8,0.37289408105065097,2024-12-28 12:14:52.024580,2024-12-28 12:54:09.691527,0 days 00:39:17.666947,16,8.488762161408713e-06,40,0.09,COMPLETE
9,0.1035355180065031,2024-12-28 12:54:09.692530,2024-12-28 12:59:10.468318,0 days 00:05:00.775788,8,1.0370844668954537e-05,5,0.03,COMPLETE
