number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_train_epochs,params_weight_decay,state
0,0.20726228176822864,2024-12-26 07:44:16.633457,2024-12-26 07:52:55.835664,0 days 00:08:39.202207,8,4.328450221293881e-06,10,0.01,COMPLETE
1,0.023150362904982607,2024-12-26 07:52:55.836775,2024-12-26 07:57:19.009265,0 days 00:04:23.172490,8,1.255111517297383e-06,5,0.1,COMPLETE
2,0.628679275202002,2024-12-26 07:57:19.010469,2024-12-26 08:10:09.210771,0 days 00:12:50.200302,8,2.595942550311263e-05,15,0.05,COMPLETE
3,0.262543122389171,2024-12-26 08:10:09.211842,2024-12-26 08:21:57.278630,0 days 00:11:48.066788,16,5.418282319533245e-06,15,0.04,COMPLETE
4,0.4919661088693898,2024-12-26 08:21:57.279881,2024-12-26 08:43:10.650459,0 days 00:21:13.370578,8,5.954553793888989e-06,25,0.0,COMPLETE
5,0.5645474599403301,2024-12-26 08:43:10.651774,2024-12-26 09:12:13.909680,0 days 00:29:03.257906,32,1.0769622478263125e-05,40,0.08,COMPLETE
6,0.05480273899259446,2024-12-26 09:12:13.910921,2024-12-26 09:16:13.573271,0 days 00:03:59.662350,16,3.292529363110526e-06,5,0.05,COMPLETE
7,0.06248078538176031,2024-12-26 09:16:13.574477,2024-12-26 09:29:08.654256,0 days 00:12:55.079779,8,1.1439974749291267e-06,15,0.05,COMPLETE
8,0.5874739380566684,2024-12-26 09:29:08.655191,2024-12-26 10:00:34.867065,0 days 00:31:26.211874,16,8.488762161408713e-06,40,0.09,COMPLETE
9,0.26668449127593974,2024-12-26 10:00:34.868275,2024-12-26 10:04:59.845739,0 days 00:04:24.977464,8,1.0370844668954537e-05,5,0.03,COMPLETE
