number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_train_epochs,params_weight_decay,state
0,0.17425936739245626,2024-12-26 05:09:10.699367,2024-12-26 05:17:57.823671,0 days 00:08:47.124304,8,4.328450221293881e-06,10,0.01,COMPLETE
1,0.027873010476001756,2024-12-26 05:17:57.824862,2024-12-26 05:22:17.911993,0 days 00:04:20.087131,8,1.255111517297383e-06,5,0.1,COMPLETE
2,0.6123493827182076,2024-12-26 05:22:17.912676,2024-12-26 05:35:19.058296,0 days 00:13:01.145620,8,2.595942550311263e-05,15,0.05,COMPLETE
3,0.28821809788316444,2024-12-26 05:35:19.059456,2024-12-26 05:47:12.135532,0 days 00:11:53.076076,16,5.418282319533245e-06,15,0.04,COMPLETE
4,0.5123331420764025,2024-12-26 05:47:12.136790,2024-12-26 06:08:35.773587,0 days 00:21:23.636797,8,5.954553793888989e-06,25,0.0,COMPLETE
5,0.5529509726649315,2024-12-26 06:08:35.774776,2024-12-26 06:37:54.474925,0 days 00:29:18.700149,32,1.0769622478263125e-05,40,0.08,COMPLETE
6,0.04752725253208373,2024-12-26 06:37:54.476100,2024-12-26 06:41:55.725442,0 days 00:04:01.249342,16,3.292529363110526e-06,5,0.05,COMPLETE
7,0.05752167595560552,2024-12-26 06:41:55.726687,2024-12-26 06:54:56.452634,0 days 00:13:00.725947,8,1.1439974749291267e-06,15,0.05,COMPLETE
8,0.5800513429703483,2024-12-26 06:54:56.453596,2024-12-26 07:26:35.384978,0 days 00:31:38.931382,16,8.488762161408713e-06,40,0.09,COMPLETE
9,0.23458503488071755,2024-12-26 07:26:35.386297,2024-12-26 07:30:59.508379,0 days 00:04:24.122082,8,1.0370844668954537e-05,5,0.03,COMPLETE
