number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_train_epochs,params_weight_decay,state
0,0.22891329372743743,2024-12-26 10:21:25.396430,2024-12-26 10:30:18.497995,0 days 00:08:53.101565,8,4.328450221293881e-06,10,0.01,COMPLETE
1,0.016911196911196916,2024-12-26 10:30:18.499166,2024-12-26 10:34:41.982206,0 days 00:04:23.483040,8,1.255111517297383e-06,5,0.1,COMPLETE
2,0.6504599878422593,2024-12-26 10:34:41.983402,2024-12-26 10:47:38.709395,0 days 00:12:56.725993,8,2.595942550311263e-05,15,0.05,COMPLETE
3,0.26279307071363905,2024-12-26 10:47:38.710745,2024-12-26 10:59:23.607549,0 days 00:11:44.896804,16,5.418282319533245e-06,15,0.04,COMPLETE
4,0.49642417057652516,2024-12-26 10:59:23.608739,2024-12-26 11:20:37.693700,0 days 00:21:14.084961,8,5.954553793888989e-06,25,0.0,COMPLETE
5,0.566029830581318,2024-12-26 11:20:37.694647,2024-12-26 11:49:01.177542,0 days 00:28:23.482895,32,1.0769622478263125e-05,40,0.08,COMPLETE
6,0.034598369958074776,2024-12-26 11:49:01.178121,2024-12-26 11:52:52.351514,0 days 00:03:51.173393,16,3.292529363110526e-06,5,0.05,COMPLETE
7,0.07268656282427119,2024-12-26 11:52:52.352100,2024-12-26 12:05:18.224164,0 days 00:12:25.872064,8,1.1439974749291267e-06,15,0.05,COMPLETE
8,0.5795319943483626,2024-12-26 12:05:18.224750,2024-12-26 12:35:51.350393,0 days 00:30:33.125643,16,8.488762161408713e-06,40,0.09,COMPLETE
9,0.2370719192735571,2024-12-26 12:35:51.351469,2024-12-26 12:40:02.572165,0 days 00:04:11.220696,8,1.0370844668954537e-05,5,0.03,COMPLETE
