number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_train_epochs,params_weight_decay,state
0,0.2032647216570429,2024-12-26 17:54:22.813035,2024-12-26 18:02:48.512395,0 days 00:08:25.699360,8,4.328450221293881e-06,10,0.01,COMPLETE
1,0.01558943632861436,2024-12-26 18:02:48.513416,2024-12-26 18:07:01.639697,0 days 00:04:13.126281,8,1.255111517297383e-06,5,0.1,COMPLETE
2,0.6222266388582177,2024-12-26 18:07:01.640662,2024-12-26 18:19:38.047540,0 days 00:12:36.406878,8,2.595942550311263e-05,15,0.05,COMPLETE
3,0.24863275320737546,2024-12-26 18:19:38.048584,2024-12-26 18:31:15.911344,0 days 00:11:37.862760,16,5.418282319533245e-06,15,0.04,COMPLETE
4,0.5010132828987318,2024-12-26 18:31:15.912605,2024-12-26 18:52:00.595447,0 days 00:20:44.682842,8,5.954553793888989e-06,25,0.0,COMPLETE
5,0.5472537206650303,2024-12-26 18:52:00.596436,2024-12-26 19:20:44.200109,0 days 00:28:43.603673,32,1.0769622478263125e-05,40,0.08,COMPLETE
6,0.04323176759723182,2024-12-26 19:20:44.201139,2024-12-26 19:24:38.512467,0 days 00:03:54.311328,16,3.292529363110526e-06,5,0.05,COMPLETE
7,0.07230718307845244,2024-12-26 19:24:38.513504,2024-12-26 19:37:11.888725,0 days 00:12:33.375221,8,1.1439974749291267e-06,15,0.05,COMPLETE
8,0.5732125496336024,2024-12-26 19:37:11.889823,2024-12-26 20:07:55.509768,0 days 00:30:43.619945,16,8.488762161408713e-06,40,0.09,COMPLETE
9,0.25758770611045734,2024-12-26 20:07:55.510786,2024-12-26 20:12:10.237012,0 days 00:04:14.726226,8,1.0370844668954537e-05,5,0.03,COMPLETE
