number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_train_epochs,params_weight_decay,state
0,0.1368023546151457,2024-12-27 09:18:36.610770,2024-12-27 09:28:59.510482,0 days 00:10:22.899712,8,4.328450221293881e-06,10,0.01,COMPLETE
1,0.022938336576959213,2024-12-27 09:28:59.511498,2024-12-27 09:34:04.365749,0 days 00:05:04.854251,8,1.255111517297383e-06,5,0.1,COMPLETE
2,0.5210490185246216,2024-12-27 09:34:04.366872,2024-12-27 09:49:05.616000,0 days 00:15:01.249128,8,2.595942550311263e-05,15,0.05,COMPLETE
3,0.19756188743267236,2024-12-27 09:49:05.616999,2024-12-27 10:04:00.480119,0 days 00:14:54.863120,16,5.418282319533245e-06,15,0.04,COMPLETE
4,0.35860742486176855,2024-12-27 10:04:00.481101,2024-12-27 10:28:55.974899,0 days 00:24:55.493798,8,5.954553793888989e-06,25,0.0,COMPLETE
5,0.4381816043828304,2024-12-27 10:28:55.975818,2024-12-27 11:05:57.341481,0 days 00:37:01.365663,32,1.0769622478263125e-05,40,0.08,COMPLETE
6,0.0328644988721141,2024-12-27 11:05:57.342392,2024-12-27 11:10:58.658031,0 days 00:05:01.315639,16,3.292529363110526e-06,5,0.05,COMPLETE
7,0.06710880079122093,2024-12-27 11:10:58.659069,2024-12-27 11:26:02.676008,0 days 00:15:04.016939,8,1.1439974749291267e-06,15,0.05,COMPLETE
8,0.44903898286651994,2024-12-27 11:26:02.677001,2024-12-27 12:05:40.773540,0 days 00:39:38.096539,16,8.488762161408713e-06,40,0.09,COMPLETE
9,0.13183696356943675,2024-12-27 12:05:40.774674,2024-12-27 12:10:48.598955,0 days 00:05:07.824281,8,1.0370844668954537e-05,5,0.03,COMPLETE
