number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_train_epochs,params_weight_decay,state
0,0.12685880310620032,2024-12-27 21:47:26.956552,2024-12-27 21:57:37.590887,0 days 00:10:10.634335,8,4.328450221293881e-06,10,0.01,COMPLETE
1,0.022764250868968623,2024-12-27 21:57:37.592039,2024-12-27 22:02:41.990665,0 days 00:05:04.398626,8,1.255111517297383e-06,5,0.1,COMPLETE
2,0.4932110179755609,2024-12-27 22:02:41.991657,2024-12-27 22:17:43.163021,0 days 00:15:01.171364,8,2.595942550311263e-05,15,0.05,COMPLETE
3,0.1509554191653868,2024-12-27 22:17:43.164053,2024-12-27 22:32:38.470377,0 days 00:14:55.306324,16,5.418282319533245e-06,15,0.04,COMPLETE
4,0.34273649692563735,2024-12-27 22:32:38.471449,2024-12-27 22:57:34.114295,0 days 00:24:55.642846,8,5.954553793888989e-06,25,0.0,COMPLETE
5,0.38059208696190483,2024-12-27 22:57:34.115467,2024-12-27 23:34:38.607876,0 days 00:37:04.492409,32,1.0769622478263125e-05,40,0.08,COMPLETE
6,0.03431013210656825,2024-12-27 23:34:38.608826,2024-12-27 23:39:43.851239,0 days 00:05:05.242413,16,3.292529363110526e-06,5,0.05,COMPLETE
7,0.06378062556918443,2024-12-27 23:39:43.852123,2024-12-27 23:54:51.940909,0 days 00:15:08.088786,8,1.1439974749291267e-06,15,0.05,COMPLETE
8,0.45465788150617875,2024-12-27 23:54:51.941873,2024-12-28 00:34:34.536002,0 days 00:39:42.594129,16,8.488762161408713e-06,40,0.09,COMPLETE
9,0.12509743509724536,2024-12-28 00:34:34.537246,2024-12-28 00:39:41.277409,0 days 00:05:06.740163,8,1.0370844668954537e-05,5,0.03,COMPLETE
