number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_train_epochs,params_weight_decay,state
0,0.09811509988516766,2024-12-27 15:32:55.130782,2024-12-27 15:43:06.004865,0 days 00:10:10.874083,8,4.328450221293881e-06,10,0.01,COMPLETE
1,0.0193692423311681,2024-12-27 15:43:06.005503,2024-12-27 15:48:06.861989,0 days 00:05:00.856486,8,1.255111517297383e-06,5,0.1,COMPLETE
2,0.3939553332312749,2024-12-27 15:48:06.862590,2024-12-27 16:02:57.153372,0 days 00:14:50.290782,8,2.595942550311263e-05,15,0.05,COMPLETE
3,0.14346945213505766,2024-12-27 16:02:57.153877,2024-12-27 16:17:42.177215,0 days 00:14:45.023338,16,5.418282319533245e-06,15,0.04,COMPLETE
4,0.3003914077470936,2024-12-27 16:17:42.177783,2024-12-27 16:42:21.559745,0 days 00:24:39.381962,8,5.954553793888989e-06,25,0.0,COMPLETE
5,0.32577455921708964,2024-12-27 16:42:21.560793,2024-12-27 17:18:48.044485,0 days 00:36:26.483692,32,1.0769622478263125e-05,40,0.08,COMPLETE
6,0.02458195842420892,2024-12-27 17:18:48.045106,2024-12-27 17:23:46.957245,0 days 00:04:58.912139,16,3.292529363110526e-06,5,0.05,COMPLETE
7,0.03649527950351664,2024-12-27 17:23:46.957852,2024-12-27 17:38:41.437954,0 days 00:14:54.480102,8,1.1439974749291267e-06,15,0.05,COMPLETE
8,0.3821539528252673,2024-12-27 17:38:41.438564,2024-12-27 18:17:59.514284,0 days 00:39:18.075720,16,8.488762161408713e-06,40,0.09,COMPLETE
9,0.11970309758576848,2024-12-27 18:17:59.515269,2024-12-27 18:23:01.423147,0 days 00:05:01.907878,8,1.0370844668954537e-05,5,0.03,COMPLETE
