number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_train_epochs,params_weight_decay,state
0,0.08090954281766137,2024-12-27 18:38:17.246309,2024-12-27 18:48:13.636409,0 days 00:09:56.390100,8,4.328450221293881e-06,10,0.01,COMPLETE
1,0.013246119611167697,2024-12-27 18:48:13.637698,2024-12-27 18:53:13.478387,0 days 00:04:59.840689,8,1.255111517297383e-06,5,0.1,COMPLETE
2,0.4525538559572262,2024-12-27 18:53:13.479003,2024-12-27 19:08:01.939706,0 days 00:14:48.460703,8,2.595942550311263e-05,15,0.05,COMPLETE
3,0.15233962484300692,2024-12-27 19:08:01.940332,2024-12-27 19:22:44.489327,0 days 00:14:42.548995,16,5.418282319533245e-06,15,0.04,COMPLETE
4,0.3048626342462149,2024-12-27 19:22:44.489995,2024-12-27 19:47:21.303740,0 days 00:24:36.813745,8,5.954553793888989e-06,25,0.0,COMPLETE
5,0.34412739747286186,2024-12-27 19:47:21.304803,2024-12-27 20:23:42.291383,0 days 00:36:20.986580,32,1.0769622478263125e-05,40,0.08,COMPLETE
6,0.033073103817180885,2024-12-27 20:23:42.292411,2024-12-27 20:28:39.037013,0 days 00:04:56.744602,16,3.292529363110526e-06,5,0.05,COMPLETE
7,0.034819157206156554,2024-12-27 20:28:39.037618,2024-12-27 20:43:26.834088,0 days 00:14:47.796470,8,1.1439974749291267e-06,15,0.05,COMPLETE
8,0.386187396129852,2024-12-27 20:43:26.834702,2024-12-27 21:22:28.629785,0 days 00:39:01.795083,16,8.488762161408713e-06,40,0.09,COMPLETE
9,0.09075607721590634,2024-12-27 21:22:28.630411,2024-12-27 21:27:27.775621,0 days 00:04:59.145210,8,1.0370844668954537e-05,5,0.03,COMPLETE
