number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_train_epochs,params_weight_decay,state
0,0.08580524195225082,2024-12-28 00:52:55.254810,2024-12-28 01:03:08.671930,0 days 00:10:13.417120,8,4.328450221293881e-06,10,0.01,COMPLETE
1,0.013284504468227923,2024-12-28 01:03:08.672558,2024-12-28 01:08:08.750470,0 days 00:05:00.077912,8,1.255111517297383e-06,5,0.1,COMPLETE
2,0.43486974875829365,2024-12-28 01:08:08.750984,2024-12-28 01:22:57.177806,0 days 00:14:48.426822,8,2.595942550311263e-05,15,0.05,COMPLETE
3,0.13405987104086817,2024-12-28 01:22:57.178449,2024-12-28 01:37:40.278834,0 days 00:14:43.100385,16,5.418282319533245e-06,15,0.04,COMPLETE
4,0.322203693806821,2024-12-28 01:37:40.279457,2024-12-28 02:02:20.705159,0 days 00:24:40.425702,8,5.954553793888989e-06,25,0.0,COMPLETE
5,0.36114740688099717,2024-12-28 02:02:20.706129,2024-12-28 02:38:48.126288,0 days 00:36:27.420159,32,1.0769622478263125e-05,40,0.08,COMPLETE
6,0.029467316742020213,2024-12-28 02:38:48.126849,2024-12-28 02:43:45.142106,0 days 00:04:57.015257,16,3.292529363110526e-06,5,0.05,COMPLETE
7,0.0330101886229511,2024-12-28 02:43:45.142677,2024-12-28 02:58:32.340812,0 days 00:14:47.198135,8,1.1439974749291267e-06,15,0.05,COMPLETE
8,0.39726520527955866,2024-12-28 02:58:32.341436,2024-12-28 03:37:37.994376,0 days 00:39:05.652940,16,8.488762161408713e-06,40,0.09,COMPLETE
9,0.09272154460793909,2024-12-28 03:37:37.995381,2024-12-28 03:42:37.701750,0 days 00:04:59.706369,8,1.0370844668954537e-05,5,0.03,COMPLETE
